headline,links,content,labels
Koneru Humpy climbs to No.2 spot in world chess rankings ,https://www.thehindu.com/sport/other-sports/koneru-humpy-climbs-to-no2-spot-in-world-chess-rankings/article30957895.ece," Grandmaster Koneru Humpy has moved up as No.2 player in the latest world ranking, displacing reigning world champion Ju Wenjun.
 Humpy, the world rapid champion who recently won the prestigious Cairns Cup in the US beating a strong field that included Wenjun, is ranked behind China’s Yifan Hou as per the March FIDE ratings.
 Humpy, who won or tied for the first place in three elite tournaments in a row, is now on 2586 (Elo), trailing only Yifan on 2658.
 GM Harika Dronavalli is ranked ninth while Tamil Nadu player R Vaishali moving up to ninth place from 10th rank in February in the junior girls category.
 Interestingly, no Indian man figures in the top ten in the world rankings for the open section.
 Former world champion Viswanathan Anand is ranked 16th in the world, followed by Vidit Santosh Gujarati at 22nd place. Gujarati is now the second highest ranked Indian player, jumping four places from the 26th spot last month.
 World champion Magnus Carlsen tops the open rankings.
 In the juniors section, Indian GM Nihal Sarin was ranked 10th in the world. ",other sports
‘3x3 can do what T20 did for cricket’,https://www.thehindu.com/sport/other-sports/3x3-can-do-what-t20-did-for-cricket/article30957782.ece,"Former India cricket team captain Anil Kumble unveiled the logo of the FIBA 3x3 Olympic basketball qualifying tournament here on Sunday. The tournament commences at the Sree Kanteerava Stadium here on March 18. 
A total of 40 teams will compete and aim to clinch main draw spots at the 2020 Tokyo Olympics.
The Indian men are placed in Group D alongside The Netherlands, Latvia, Canada and Croatia. The women’s team will battle it out with Italy, Chinese Taipei, Switzerland and Spain.
“I think 3x3 can do the same thing T20s did for cricket. It has changed everything. 
“That said, if some of you don’t make it to the team, do consider becoming bowlers because some of you guys look like you’re 6’’8’ and that’s Kyle Jamieson’s height (New Zealand fast bowler). 
“He's doing some damage and I think you guys can too,” Kumble said.",other sports
"Extend qualification period, say shuttlers",https://www.thehindu.com/sport/other-sports/extend-qualification-period-say-shuttlers/article30957756.ece,"Indian shuttlers Saina Nehwal and P. Kashyap feel that the BWF should extend the Olympic qualification period in view of the novel coronavirus outbreak wrecking havoc on the qualifying events for the Tokyo Games.
Concerns over the rapid spread of the deadly virus had forced the postponement of the four Olympic qualifying events so far — Lingshui China Masters (February 25 to March 1), Vietnam International Challenge (March 24 to 29), German Open (March 3 to 8) and Polish Open (March 26 to 29).
 “Qualification period can be extended if the tournaments are getting cancelled cause of #coronavirus,” Saina tweeted, tagging the Badminton World Federation (BWF) and the International Olympic Committee (IOC).
“It will be unfair for most of the players who are really close to qualifying for Olympics 2020.” 
Saina, the London Olympic bronze medallist, is currently lying at 22nd in Race to Tokyo list and needs a rapid rise in the rankings to qualify for the Games.
Her husband Kashyap and former World No. 1 Kidambi Srikanth are at 24th and 21th spots respectively in the Race to Tokyo list.
For them and several top players around the world, including China’s two-time Olympic champion Lin Dan (currently placed at 30th), the next few tournaments will be crucial as they try to squeeze into the top 16 to qualify for Tokyo.
The prestigious All England Championships (March 11 to 15), offering 12,000 ranking points for the winner, is next in line, followed by the Swiss Open, India Open (Super 500), Malaysia Open (Super 750), and Singapore Open (Super 500) before qualification period ends on April 28.
 “I understand that everything has to be assumed at this moment but I hope all the athletes have a fair chance to qualify for the Olympics” Kashyap tweeted.",other sports
"Gold, silver lose sheen ",https://www.thehindu.com/business/gold-silver-lose-sheen/article30952976.ece,"After ruling strong for the best part of February, precious metals lost sheen towards the end of the month. Comex gold climbed to the highest level in seven years last week on growing concerns relating to the economic impact of the rapid spread of COVID-19. The weakness in global equity markets also played a part in fuelling the sentiment.
Comex gold touched a high of $1,692 an ounce on February 24 before cooling off drastically in the last few trading sessions. Comex silver recorded a high of $18.92 on Thursday and since remained subdued. 
Comex gold fell 1.34% in February to settle at $1,566.7 an ounce while silver lost 9% to settle at $16.39 an ounce. In the domestic market, the gold futures price on the MCX rose 0.9% in February to ₹41,397 per 10 gm. MCX silver futures slipped 6.5% in the month to ₹44,403 a kg.
As observed in the previous piece, Comex gold ruled firm and also moved well past the then mentioned target price of $1,625-1,630 an ounce. The short-term outlook for gold is negative and a fall to the immediate target zone of $1,510-1,520 appears likely. The negative view would be invalidated if the price moves above the resistance level at $1,625-1,630 zone.
Comex silver, too, hit the target price of $18.8-19.1 an ounce mentioned in the previous post. The short-term outlook for silver, too, is negative. A drop to the short-term support of $15.5-15.7 appears likely. 
A drop below $15.4 would impart further weakness and the price could then drop to $14.8-15. The negative outlook would be under threat if the silver price were to close above the $17.2-17.4 zone. The gold futures price at MCX ruled firm in February and hit the target price of ₹41,600-41,800 per 10 gm mentioned last month. MCX gold may remain subdued in the short-term and the price could slip to ₹39,800-40,200. A move past ₹43,100 is needed to invalidate the negative outlook. The short-term outlook for MCX silver is not too positive. The MCX silver price moved to the target zone of ₹48,800-49,000 mentioned last month and has since turned weak in the last couple of trading sessions. 
MCX silver is likely to remain subdued in the short-term and the price could slip to ₹41,500-41,750. A drop below ₹43,800 would confirm the negative outlook while a close above ₹46,500 would invalidate it.
To summarise, precious metals have achieved their short-term targets and turned weak from a short-term perspective. It is advisable to remain on the sidelines till there is evidence of te resumption of an uptrend.
(The author is a Chennai-based analyst / trader. This is not meant to be trading or investment advice) ",business
Can HRA be claimed equally by self and spouse? Answers to your personal finance queries,https://www.thehindu.com/business/ask-us/article30952942.ece,"Q. I recently closed my home loan with SBI with the retirement corpus my father had accumulated. I am now paying a monthly EMI to my father with an agreed interest rate. This is a joint loan with my wife.
I have the following questions:
1) Can I claim interest benefit under section 24 for the home loan?
2) I realised that I cannot claim the principal u/s 80C as I am paying my father. Could you please confirm?
3) Should I prepare any other document to avoid I-T scrutiny? My wife and I are transferring money to my father's bank account via NEFT on the 2nd of every month.
Anil Kuppa
A. There is no specific provision under section 24 implying home loans availed from only banks and other financial institutions can be availed as deduction. Hence, interest on home loans paid to your father may be availed as deduction. However, principal repayment under section 80C can be availed only from such categories of lenders as government, LIC, National Housing Bank, other banks and financial institutions involved in financing the construction of house properties. Further, it is advisable to obtain a certificate from banks/financial institutions in support of the repayment so made. Hence, payments to your father with respect to principal cannot be availed as deduction. Documentation in the form of acknowledgement receipt from your father for the interest payments and an agreement with your father with respect to the housing loan can be entered into. It is also pertinent to note that your father should show the interest received as income in his ITR.
(The above queries were answered before the the Budget on Feb. 1 and are published now)
Q. I am a super senior citizen and a retired central government pensioner without medical insurance. I have spent about ₹10,000 towards preventive health check-ups and other medical expenses. Am I entitled to I-T exemption for the total amount, or is it limited to ₹5,000 under u/s 80D of the I-T Act?
Ram Nandula
Q. I am a super senior citizen, aged 84. This month, I incurred an expense of ₹8,400 on root canal treatment. The payment to the dentist was made by a credit card. I do not have any medical insurance. Please clarify whether this payment is eligible for deduction under Sec.80D of the I-T Act?
N.R. Krishnaswami
A. Under section 80D of the I-T Act for senior citizens, amounts paid towards medical expenditure of up to ₹50,000 can be availed as deduction in an assessment year. It is to be noted that no active medical insurance in the name of such senior citizens should be in force for such assessment year. Hence, both the claims, as above, can be made.
Q. My spouse and I work for the same organisation and live in a rented house. Both are paid House Rent Allowance (HRA). My rent paid in excess of 10% of pay works out to nil and therefore, I cannot claim any HRA exemption. As for my spouse, her HRA qualifies for exemption as the rent payment is in excess of 10% of salary. Kindly clarify if the exempted HRA could be claimed equally by self and my spouse or entire exempted HRA amount is to be claimed by my spouse only. I am in the 30% I-T slab and my wife 20% slab.
P. Venkata Rao
A. Allowable HRA is the least of the following amounts:
1) Excess of rent paid over 10% of the basic salary
2) In case you’re staying in a metro, 50% of the basic salary, and 40% if you live in a non-metro city.
3) The actual amount of HRA
HRA can be claimed as an exemption based on who is paying the rent and under whose name the current agreement is entered into. Pre-conditions under this section are that rent payment should be supported by a rental agreement and also periodic rent receipts from the landlord are to be obtained clearly displaying the names of the persons paying the rent. You may alter the rental agreement prospectively based on salaries got by both of you so that the benefits are best availed.
(The author is partner, GSS Associates, Chartered Accountants, Chennai)",business
Film critiquing Iranian death penalty wins Berlin’s Golden Bear,https://www.thehindu.com/entertainment/movies/film-critiquing-iranian-death-penalty-wins-berlins-golden-bear/article30953905.ece,"""There Is No Evil,” a study of capital punishment filmed in secret defiance of Iranian government censorship by director Mohammad Rasoulof, won the Berlin Film Festival's Golden Bear award on Saturday.
Mr. Rasoulof, whose film explores the moral dilemmas thrust on those chosen to carry out executions and the consequences of defiance for them and those around them, was unable to leave Iran to pick up the award because of propaganda charges he faces in relation to earlier films.
“This is for him,” said his daughter Baran, who stars in the film and picked up the award on his behalf. Producer Farzad Pak added thanks to the cast and crew “who put their lives in danger to be in this film.”
Jury president Jeremy Irons described the film as “four stories showing the web an authoritarian regime weaves among ordinary people, drawing them towards inhumanity,” adding that the film “asks questions about our own responsibility and choices we all make in life.”
The second-place Silver Bear went to Eliza Hittman's “Never Rarely Sometimes Always!”, the story of two teenagers from the rural U.S. defying anti-abortion activists, poverty, physical and mental harassment and expensive healthcare to obtain the pregnancy termination one of them needs.
Hong Sangsoo won a best director Silver Bear for The Woman Who Ran, a miniature about female friendship, loneliness, men who intrude, and a cat who, filmed washing itself and yawning, reduced audiences to stitches of laughter.",movies
Covering risk while earning money,https://www.thehindu.com/business/markets/covering-risk-while-earning-money/article30952966.ece,"There are a variety of life insurance policies.
While term policies cover only death risk and for a given period, whole life policies offer longer coverage periods with options like return of premium and other add-ons. It is the endowment policy that offers some return on the premium paid over and above just coverage. This return, or bonus, is a share of the returns that the life insurance company realises when it invests your premium and is usually more modest than even bank fixed deposit interest.
The Unit-Linked Insurance Policy (ULIP) offers life coverage and a larger component of investment. However, this investment is linked to the capital market returns on the premium funds that are invested. We can infer that the risk profile of this investment is pretty different from other life insurance policy bonuses because, in the case of the latter, the funds are invested according to prudential norms laid out in the insurance regulations designed for the safety of funds and not to maximise returns.
 In short, ULIP returns are subject to market risk while affording an opportunity for higher returns.
It is also one policy where you, as policyholder, can choose the bouquet of investments your funds should be deployed in. Funds are usually in distinct asset classes or specified combinations of asset classes. A high-risk fund would be largely in equities where the returns can also be commensurately high. A low-risk fund would have investments largely or wholly in debt securities while a medium-risk fund would have some combination of the two.
So, the policy pays out a death benefit should the policyholder die during the policy period. If he survives, he gets the maturity value of the ULIP. The death / maturity benefit is an assured sum and unaffected by the ULIP maturity value which is nothing but the value on that date of the investments in the fund of his choosing. Even if the value of the ULIP investments are less than the sum assured, the death benefit is assured.
 ULIP has some flexibilities. You can choose any option of fund to invest in and you can switch from one fund to another as well. You can top-up your ULIP policy any time and also direct future premiums to go into a specified fund. Partial withdrawals are also possible.
Staying invested also brings loyalty additions and bonuses which add value to your investment. Premium paid for a ULIP policy has tax benefits under Section 80C of the Income-Tax Act, 1961 and maturity proceeds are tax-free under Section 10 (10) (d) subject to certain conditions.
ULIPs should be actively managed for better returns. You should study your own risk appetite, the stage of life you are in and your financial goals in order to make intelligent decisions. Some policies have systematic transfers from one asset class to another or a life-cycle-based strategy that automatically switch your funds.
Capital market investments in equities, typically, are long term in nature so you should also take a long-term view on your ULIP investment strategy given that there is a five-year lock-in period anyway.
ULIP funds of insurance companies have published track records and studying these to decide on a strategy would be a good idea.
The other important thing to track is the charges in various ULIPs. Be sure you choose one with lower charges so that more of your money is invested and earns you returns.
(The writer is a business journalist specialising in insurance & corporate history)",markets
Financial goals can’t be influenced by Sensex,https://www.thehindu.com/business/markets/financial-goals-cant-be-influenced-by-sensex/article30952902.ece,"‘What do you think of the market?’ is a question I most often face from viewers, readers and members of the audience, as a practicing financial planner. The reference here is to stock market and more specifically, to the Sensex and Nifty. Honestly, no one can, with accountability, can predict the future.
Also read | Market selloff: 2,011 stocks end in red, 456 defy trend on BSE
Let us assume because of some supernatural powers an individual knows the direction of the market. Still, is that really useful? “Son, Sensex is down 10% since beginning of the year, let us postpone your marriage plan till such time the Sensex comes back to its original level.” What are the chances a father will ever say this to his son?
Requirement of funds to fulfil our financial goals cannot be dependent on the level of Sensex. Also, while we have no control over or say in the movement of the Sensex, our financial responsibility and dreams still need to be fulfilled. Beyond a point, the level of Sensex doesn’t matter.
Instead of trying to gauge the level and future of the Sensex, we must focus on ‘My Sensex.’ ‘My Sensex’ is ‘My Sensible Expense.’ We can even call it our family budget or cash-flow statement. One of my lady clients once said, “Gaurav, the word budget scares the life out of me. I prefer calling it spending list. This gives me a lot of relief.” To her, budget is restrictive but spending list sounded like freedom to spend.
There is no way I would want to preach on delayed gratification, being frugal or spending versus splurging. 
These are subjective. To a teenager or a young lady who has just started working, using the French cosmetic brand Estee Lauder is certainly splurging, but to a fashion model, it is an occupational need. My milkman, who delivers milk at 5 a.m., owning a bicycle is a necessity but what about a bicycle, for a Sunday ride with friends, costing ₹1.25 lakh for a college student?
What is of pivotal importance is being responsible for our expenses and owning up to such responsibility.
“After entering the restaurant, the family sat at a table near the window and the waiter brought in various food items. The family consumed some of the food items, wasted a lot and paid the full amount for it.” Does this make sense? Under normal circumstances, we look at the menu card, order food items of our choice and quantity of each based on our requirements. Later, we settle the bill for the items we had ordered. This way, there is either nil or little wastage. Our family budget — or spending list — is our financial menu card. 
From the list of various items on the card, we need to decide which ones and how much to spend on each.
A financial menu card can be segregated into two main categories and into further two sub-categories. Two main categories are fixed expense and variable expenses.
Fixed expense are those expenses which remain constant e.g. house rent, school fees, insurance premium and EMIs. These are fixed and mandatory. We cannot skip them. The sub-category is fixed voluntary expenses e.g. club and gymnasium membership, subscription to TV channels, magazines, etc. Here we do have an option to reduce or skip them if we wish to.
Variable mandatory expenses are grocery, transport, healthcare, clothing, utilities etc. They keep changing by a small variation month-on-month. Variable voluntary expenses are eating out, entertainment etc.
It is completely up to the individual or family to decide how much to spend on each category. What needs to be kept in mind is there is an inverse relationship between our current expenses and future wealth creation.
Saving and splurging both give rise to similar emotions — only the order in which they emerge changes. Splurging now will give us excitement now but there will be anxiety later about the amount of wealth created. On the other hand, saving now and living frugally may give frustration now but happiness will emerge later as we will have a larger corpus in our winter years. 
Avoid getting into predicting the future of Sensex or for that matter anything else. This is a futile exercise as there is nothing in our control. What is in our control is My Sensex. Spend time preparing My Sensex, my financial menu card or, as my client calls it, My Spending List.
(The writer is a financial planner and the author of Yogic Wealth)",markets
Wrestling | Bajrang aims to peak during the Olympics ,https://www.thehindu.com/sport/other-sports/wrestling-bajrang-aims-to-peak-during-the-olympics/article30965823.ece,"The spread of the coronavirus beyond the confines of the epicentre China has wreaked havoc with the schedules of a number of Indian Olympic hopefuls. 
In wrestling, the Olympic qualifying tournament scheduled from March 27 to 29 in Kyrgyzstan now stands cancelled. Sakshi Malik, a bronze medallist from Rio 2016, has just one more opportunity (in May in Bulgaria) to make the grade and is hoping that the outbreak doesn’t “crush her dreams”.
Even as it doesn’t affect one of India’s biggest medal prospects at Tokyo 2020, Bajrang Punia, qualify as he did quite early, the 26-year-old said it was important to be sensitive to the crisis at a humanitarian level.
“A lot of people have died and that’s horrible,” Bajrang said at an event held to announce an association between JSW Group’s Inspire Institute of Sport and Herbalife Nutrition. “It’s not only about athletes, it’s about every person. As athletes in this country we don’t have to worry about it. But you can’t just ignore it.” 
“China, Italy, Iran and many places in Europe…people can’t come from there or go there. What if there is an emergency and they can’t travel?”
Thus far the Tokyo 2020 authorities have been steadfast in their belief that the Olympics will go ahead as scheduled. 
It is with this certainty that Bajrang plans to train, though he is unsure of the events he will take part in to fine-tune his preparations.
“My target is to peak during the Olympics,” Bajrang said.
“Every wrestler, including me, comes to the Olympics with the dream of winning a medal. I should not make any mistakes. My category (65 kg) is a tough one. There are around 12-13 wrestlers who can beat anyone. ”
At the recent Asian Wrestling Championship at home, Bajrang lost to Japan’s Takuto Otoguro, an opponent who he had failed to defeat in the 2018 World Championship title clash too.
“I couldn’t give my 100%. There was pressure and a few days before that I had typhoid. But I am working on my weaknesses. My leg defence has improved. Also, I used to concede points early and would recover later.”",other sports
Basketball | Coronavirus cloud over 3x3 tourney ,https://www.thehindu.com/sport/other-sports/basketball-coronavirus-cloud-over-3x3-tourney/article30965743.ece,"Fears over the coronavirus has cast doubts over participation of a few teams in the FIBA 3x3 Olympic basketball qualifying tournament, which commences at the Sree Kanteerava Stadium here on March 18.
Chinese Taipei and Italy, two countries badly affected by the virus, sit alongside India, Switzerland and Spain in Pool D.
Players from these two countries could face difficulties in securing visas to travel to India. 
As it stands now, the Indian government has placed restrictions on the entry of visitors from Chinese Taipei and Italy.
Also read: ‘3x3 can do what T20 did for cricket’
While Chinese Taipei and Italy are not competing in the men’s section, South Korea — another coronavirus-affected nation — is in men’s Pool B.
Basketball Federation of India secretary-general Chander Mukhi Sharma stated the host would take a wait and watch policy. 
“We have not received any official communication yet from the government.
“Given that the coronavirus is a serious threat, we cannot make any special exemptions for players from any nation. 
“Every player from every foreign team will be subject to the protocols and rules set by the Indian government,” Chander said here on Monday.
Six 2020 Tokyo Olympic slots (three each for men and women) are up for grabs in Bengaluru.",other sports
